天体名称,距离模数,退行速度
PGC765572,36.38,13281
NGC1201,31.54,1597
PGC869197,37.52,23603
PGC994819,36.22,-
PGC998264,36.95,22941
PGC1059326,34.16,2702
PGC1114283,36.49,13497
PGC1124612,37.77,31378
PGC1160052,37.11,27136
PGC1172545,37.54,32351
PGC1258718,35.51,8980
PGC1392929,35.9,10914
PGC1506233,35.63,8478
PGC1809186,35.07,9385
PGC1824266,30.23,405
PGC2601822,28.66,253
PGC2793293,34.35,4478
PGC2798836,33.34,-
PGC2798844,33.15,-
PGC2798867,33.24,-
PGC2801026,26.42,95
PGC2801052,28.34,230
PGC2802467,24.39,-
PGC2802561,24.86,-
PGC2802598,24.31,-
PGC2802601,25.01,-
PGC2802602,24.64,-
PGC2807061,26.12,142
PGC2807102,28.29,239
PGC2807103,27.64,207
PGC2807110,28.4,302
PGC2807150,27.1,258
PGC2807133,27.86,-
ANDROMEDA06,24.46,-169
PGC2807155,24.57,-96
PGC2807157,27.03,63
PGC3081460,36.58,12712
PGC3097690,28.89,275
PGC3097691,24.45,-24
PGC3097727,28.16,-
ANDROMEDA05,24.39,-223
PGC3097827,27.86,-24
PGC3097828,27.75,-
PGC3108973,38.58,48464
PGC3114934,37.85,35904
SDSSJ003709.59-011222.4,40.06,93153
2MASXJ03052260+0051346,38.03,35410
SDSSJ205036.66-002115.2,39.94,77826
SDSSJ211531.80-002116.5,39.21,59325
2MASXJ00024910+0045055,37.28,26117
2MASXJ01415126-0052365,37.43,28074
2MASXJ01270614+1906587,36.1,13036
2MASXJ01454460-5605518,37.83,26265
2MASXJ03372260-3302350,35.73,11584
2MASXJ09591870-1928233,34.18,3439
2MASXJ13524703+0518496,37.92,25157
SDSSJ212342.95-005035.0,37.2,18904
6dFJ0956376-092911,29.86,426
SDSSJ004632.24+005017.4,38.14,39239
SDSSJ010743.60-010222.1,38.79,52370
SDSSJ012648.45-011417.3,37.03,17269
SDSSJ215558.49-010413.0,37.6,21706
APPLES1,29.6,652
GOODSJ123649.72+621313.4,41.39,142369
GOODSJ123655.57+621245.9,43.11,237250
ANDROMEDA17,24.35,-68
HIPASSJ1348-37,28.76,440
[RGK2003]J010858.96+000024.8,38.99,56131
PGC041782,31.12,1456
MS1008.1-1224:PPP001719,40.25,89756
CENTAURUSN,27.82,-
[HS98]117,28,79
IKN,27.87,-34
SAGITTARIUS_DWARF_SPHEROIDAL,17.1,169
ANDROMEDA09,24.43,-33
CANES_VENATICI_DWARF,21.65,69
BOOTES2,18.1,-116
BOOTES1,19.1,109
UMA1,19.95,-7
UMA2,17.5,-33
SDSSJ1049+5103,18.11,35
COMA,18.15,82
CANES_VENATICI_2,21,-95
HERCULES,20.8,145
LEO4,20.96,10
BOOTES3,18.35,240
LEO5,21.25,59
SEGUE2,17.73,42
WMMA080,37.21,10931
[CKT2009]D0939+71,27.83,-
ANDROMEDA18,25.59,-135
ANDROMEDA19,24.83,68
ANDROMEDA20,24.36,-
ANDROMEDA10,24.05,8
ANDROMEDA14,24.37,-326
ANDROMEDA11,24.33,-297
ANDROMEDA12,24.62,-393
ANDROMEDA13,24.62,-24
ANDROMEDA16,23.71,-211
[CKT2009]D0934+70,27.4,-
[CKT2009]D0944+69,27.91,-
[CKT2009]D0955+70,27.69,-
[CKT2009]D1006+67,27.79,-
[CKT2009]D1014+68,27.92,-
[CKT2009]D1041+70,27.84,-
[CKT2009]D0926+70,27.66,-
[CKT2009]D0944+71,27.68,76
[CKT2009]D1015+69,27.96,-
PISCES2,21.3,-75
SEGUE3,16.13,36
DDO169NW,28.18,324
SCL-DE1_GC1,28.17,-
AGC112521,28.92,399
ANDROMEDA23,24.36,-85
ANDROMEDA24,24.77,-
ANDROMEDA25,24.5,81
ANDROMEDA26,24.41,-
ANDROMEDA27,24.6,-355
ANDROMEDA21,24.61,-164
ANDROMEDA22,24.66,3
AGC749241,28.75,450
AGC748778,29.05,405
AGC174585,29.48,241
AGC174605,29.91,226
ALFAZOAJ1952+1428,29.62,467
NGC4423,31.47,1046
NGC4430,32.76,1373
GALAXY,14.57,-
ANDROMEDA30,24.17,48
CANIS_MAJOR_DWARF,14.41,-
[QQH97]J234014.21+261211.8,36.15,10374
[HM92c]230149-3736.8,38.42,30279
SCPJ110136.37-060631.6,36.55,11841
NSFJ235412.09+272432.3,35.25,7373
NSFJ022743.32+281037.6,35.81,10561
SDSSJ121438.73+121347.7,37.56,19125
SDSSJ010934.78+004215.9,34.26,60030
ANDROMEDA31,24.4,16
ANDROMEDA32,24.45,-181
SKHV302,24.23,-
SKHV108,24.4,-
[SVA2008]M33EC1,24.75,-19
ANDROMEDA33,24.49,-216
GHOSTS1,30.4,-
IC3094,33.25,-221
IC3032,30.87,1122
M101DF1,29.02,-
M101DF3,29.07,-
M101DF2,29.19,-
PGC039331,31.28,-37
IC0776,32.53,2397
IC3881,32.23,900
SCLMMDW1,27.98,-
[LLH2012]41,31.32,-
PGC5067952,41.65,-
PGC5067955,41.77,-
PGC5067979,38.82,-
PGC5067980,40.32,-
PGC5068230,35.63,9474
H-ZSNSJ022853.88+011624.2,43.44,-
SCPJ140159.90+050459.6,43.85,-
