排名,公众号,发布,总阅读数（万+）,头条（万+）,平均,最高,总点赞数,新榜指数
1,人民日报,282/684,6840 ,2820 ,10万+,10万+,763万+,1057.7
2,新华社,265/606,5952 ,2642 ,98230,10万+,220万+,1046.9
3,央视新闻,265/584,5425 ,2578 ,92901,10万+,164万+,1041.3
4,人民网,155/521,3886 ,1509 ,74602,10万+,40万+,1018.1
5,环球时报,155/611,3540 ,1437 ,57945,10万+,65万+,1013.2
6,参考消息,155/608,3436 ,1332 ,56516,10万+,43万+,1010.1
7,占豪,31/248,2458 ,310 ,99125,10万+,430万+,1003.1
11,新闻夜航,93/744,2591 ,795 ,34825,10万+,11万+,987.2
13,观察者网,93/685,2261 ,770 ,33019,10万+,19万+,982.4
14,澎湃新闻,93/722,2298 ,841 ,31837,10万+,12万+,981.5
18,新华网,151/426,1822 ,1130 ,42781,10万+,20万+,976.6
21,瞭望智库,118/244,1622 ,1065 ,66496,10万+,13万+,973.7
27,冯站长之家,31/248,1363 ,310 ,54963,10万+,105万+,967.2
28,广州日报,93/513,1708 ,739 ,33300,10万+,83663,967
30,中国青年报,122/395,1519 ,939 ,38477,10万+,15万+,966
31,铁血军事,31/248,1452 ,290 ,58587,10万+,18万+,964.4
33,新闻早餐,31/248,1372 ,310 ,55339,10万+,26万+,962.9
36,南方都市报,84/397,1501 ,717 ,37824,10万+,69831,961.7
42,今日平说,31/129,1085 ,303 ,84181,10万+,67万+,959.2
51,中国搜索,111/361,1266 ,724 ,35073,10万+,11万+,955.2
53,广东公共现...,31/221,1160 ,294 ,52530,10万+,12万+,952.3
56,半岛晨报,93/478,1252 ,553 ,26199,10万+,87579,950.4
59,都市快报,83/476,1319 ,551 ,27712,10万+,33523,949.9
60,钱江晚报,93/498,1322 ,540 ,26548,10万+,36358,949.9
62,环球网,145/544,1204 ,531 ,22142,10万+,16万+,949.3
73,米尔军事网,31/240,1037 ,223 ,43220,10万+,13万+,944.8
77,十堰晚报,89/372,1064 ,542 ,28612,10万+,70926,943.2
79,半月谈,127/335,1029 ,677 ,30728,10万+,59863,942.6
82,今日防务观察,31/248,1002 ,256 ,40429,10万+,67364,940.9
88,国魂,29/232,891 ,207 ,38409,10万+,11万+,936.3
92,中国新闻网,155/575,991 ,539 ,17251,10万+,72477,935.8
94,讲武堂,31/248,884 ,186 ,35662,10万+,12万+,935.2
97,新晚报,80/358,939 ,395 ,26231,10万+,38529,933.8
107,军武榜,31/247,837 ,191 ,33911,10万+,76405,930.9
109,小疆有话说,31/124,685 ,237 ,55321,10万+,18万+,930.1
112,新闻晨报,92/462,931 ,405 ,20153,10万+,25032,929.8
119,新北方,31/161,787 ,262 ,48883,10万+,16838,927.2
124,CCTV4,117/206,679 ,549 ,32985,10万+,11万+,926.2
127,中国日报双语...,49/151,671 ,413 ,44443,10万+,72699,925.9
133,复兴军事,31/248,744 ,178 ,30032,10万+,95494,925.2
134,侠客岛,56/65,557 ,521 ,85811,10万+,96254,925.2
135,央视网,128/452,783 ,406 ,17340,10万+,72437,924.5
139,楚天都市报,93/363,770 ,348 ,21217,10万+,51556,923.8
144,长安街知事,84/141,651 ,496 ,46176,10万+,33909,922.9
154,中国新闻周刊,84/232,685 ,452 ,29555,10万+,29629,920.5
156,江南都市报,93/428,708 ,337 ,16543,10万+,98329,920
160,陕西都市快报,73/313,729 ,309 ,23293,10万+,26022,919.5
165,大江网,93/498,736 ,365 ,14793,10万+,54459,919.1
170,南国早报,92/312,721 ,357 ,23118,10万+,17266,918
173,凤凰网军事频...,28/162,599 ,220 ,37022,10万+,86252,917.8
184,新闻坊,63/240,640 ,336 ,26682,10万+,22368,914.7
185,齐鲁晚报,85/376,673 ,313 ,17916,10万+,34313,914.7
196,军武纵横,31/248,606 ,174 ,24453,10万+,59642,912.7
199,杭州日报,84/214,578 ,379 ,27026,10万+,34648,912.2
203,河北青年报,92/277,596 ,352 ,21517,10万+,37916,911.6
220,海峡导报,87/284,571 ,357 ,20129,10万+,35927,909.1
221,防务新视角,31/248,586 ,146 ,23649,10万+,39384,908.9
237,中国之声,133/443,572 ,282 ,12934,10万+,68573,906.7
258,军报记者,138/329,518 ,374 ,15755,10万+,58815,904.4
261,南方周末,42/63,417 ,355 ,66204,10万+,22579,903.9
272,湖北经视,84/258,497 ,278 ,19263,10万+,43701,902.3
277,扬子晚报,92/363,555 ,248 ,15292,75917,26135,901.9
284,学习小组,49/60,376 ,354 ,62715,10万+,44788,901.2
291,政事儿,31/82,444 ,266 ,54259,10万+,7627,900.3
306,光明网,135/393,492 ,313 ,12521,10万+,49331,898.9
328,河北日报,91/256,459 ,266 ,17943,10万+,33618,897.2
334,华哥读报,31/248,498 ,41 ,20097,10万+,42096,896.3
337,国际热评,29/231,468 ,127 ,20295,96907,29002,896
344,头条早知道,31/217,457 ,185 ,21071,10万+,18218,895.1
345,生活报,93/481,514 ,190 ,10691,10万+,21316,895
351,三剑客,28/50,329 ,268 ,65968,10万+,42022,894.7
353,海南特区报,86/215,415 ,263 ,19334,10万+,47519,894.6
360,辽沈晚报,93/354,476 ,215 ,13473,10万+,19393,893.8
363,军武见闻,31/247,450 ,134 ,18249,10万+,28447,893.6
368,一号哨位,30/93,354 ,216 ,38158,10万+,57364,893.5
383,成都商报,85/432,449 ,246 ,10406,10万+,41474,892
388,海南日报,80/238,432 ,256 ,18177,10万+,14017,891.5
402,蒋校长,31/87,320 ,143 ,36781,96944,14万+,890.3
406,南国都市报,92/293,431 ,212 ,14718,10万+,20365,890.2
420,军事帝,31/248,399 ,112 ,16122,10万+,62027,889.3
422,华商报,66/200,402 ,227 ,20146,81310,19967,889.2
423,龙视新闻在线,93/737,519 ,183 ,7054,10万+,10072,889.2
439,洛阳网,31/157,375 ,176 ,23905,10万+,24852,888.3
461,海峡都市报,85/312,401 ,237 ,12857,10万+,20015,886.2
473,人民日报评论,59/131,327 ,250 ,24969,10万+,35778,885.1
500,宁波晚报,73/328,387 ,185 ,11804,10万+,19455,882.9
